Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0381b,2019-12-23T10:55:02.194769Z,2019-12-23T10:59:01.047990Z,2.4_HZ,D,1.1688789545,1.29138289475,1.17489740998,1.13640273348,1.23498828556,1.28085153861
S0381a,2019-12-23T10:01:48.481074Z,2019-12-23T10:17:53.177320Z,2.4_HZ,D,1.1384446157,1.19856375985,1.22946496332,1.56822542353,1.41996246176,1.39660485594
S0380a,2019-12-22T15:25:03.056761Z,2019-12-22T15:34:08.454398Z,2.4_HZ,D,1.08332173145,1.13943602609,1.13621890704,1.85613124141,1.63982338641,1.64298295621
S0379b,2019-12-21T13:48:49.183584Z,2019-12-21T14:00:52.477829Z,2.4_HZ,D,0.998891900931,0.995028931881,1.18533867397,1.59081066926,1.54468871389,1.63731457264
S0379a,2019-12-21T12:28:25.472635Z,2019-12-21T12:40:12.527900Z,2.4_HZ,D,1.02419300179,0.989545763802,1.02326505444,1.72639483572,1.57702171549,1.51255583843
S0378b,2019-12-20T13:12:36.581946Z,2019-12-20T13:27:56.897754Z,2.4_HZ,B,1.41262642564,1.38430578936,1.55448866832,2.76428317746,2.91452548735,2.92267802663
S0378a,2019-12-20T07:55:31.671114Z,2019-12-20T08:10:28.168633Z,2.4_HZ,C,1.10764991096,1.10960145667,1.21033748534,2.45692880127,2.12946568977,1.92097772834
S0377c,2019-12-19T12:00:08.674976Z,2019-12-19T12:10:14.373036Z,LOW_FREQUENCY,C,2.07760659573,1.90965989175,2.00031602799,0.988848683141,1.06828610329,1.04729760643
S0377b,2019-12-19T10:54:52.539381Z,2019-12-19T11:06:54.348564Z,2.4_HZ,D,1.04181419521,1.05103391237,1.09399172248,1.24601937714,1.27783437622,1.3240904026
S0377a,2019-12-19T10:05:20.136845Z,2019-12-19T10:16:57.632455Z,2.4_HZ,D,1.15793788953,1.13569611665,1.0950725958,1.30624130127,1.15402621477,1.22177585611
S0376b,2019-12-18T11:53:47.578556Z,2019-12-18T12:01:22.781128Z,2.4_HZ,D,1.22698841419,1.27855745295,1.27238309954,1.48962789168,1.41198296874,1.51095005185
S0376a,2019-12-17T16:32:21.320475Z,2019-12-17T16:36:34.373722Z,VERY_HIGH_FREQUENCY,C,1.18302732215,1.21856656983,1.11512751646,2.46719763855,1.83633698151,2.15414312471
S0375a,2019-12-17T10:13:46.037393Z,2019-12-17T10:31:36.563599Z,HIGH_FREQUENCY,C,1.96573690959,1.94641670227,2.26802148453,4.11956092786,4.04909903835,3.60186552598
S0373b,2019-12-15T10:19:57.152934Z,2019-12-15T10:39:21.916076Z,2.4_HZ,C,1.34316421076,1.32372266555,1.35933479025,2.00507211955,1.83867525283,2.08111640742
S0373a,2019-12-15T07:09:45.642566Z,2019-12-15T07:26:32.282574Z,2.4_HZ,D,1.08592531378,1.08339208841,1.15541369294,1.23223843463,1.30455773035,1.51651051709
S0372a,2019-12-14T07:36:47.817106Z,2019-12-14T07:57:03.269294Z,2.4_HZ,B,1.36937429117,1.33792612677,1.38812565006,3.3349179078,3.2099646963,3.07853284847
S0371b,2019-12-13T08:31:10.664649Z,2019-12-13T08:49:29.843977Z,HIGH_FREQUENCY,B,1.34483050127,1.30901300525,1.57398018543,3.2190900571,2.695485674,3.12956099485
S0371a,2019-12-13T06:43:34.662662Z,2019-12-13T07:00:22.581471Z,2.4_HZ,D,1.28481229935,1.16005964265,1.2083609482,1.58576606812,1.51829819623,1.76788917245
S0367d,2019-12-09T04:45:35.937597Z,2019-12-09T04:57:41.123831Z,2.4_HZ,C,1.12484385667,1.04692731462,1.12695090104,1.33189381333,1.27016123305,1.3463125245
S0367c,2019-12-09T03:46:42.499474Z,2019-12-09T04:01:23.719094Z,2.4_HZ,B,1.07303043626,1.12063681191,1.04995750337,1.79077154777,1.91566794274,1.88390841264
S0367b,2019-12-09T01:45:30.082721Z,2019-12-09T01:55:14.992273Z,2.4_HZ,D,1.02090588251,1.11943103307,1.0744258998,1.59383388752,1.37022427037,1.48291741981
